SEXO;IDADE;DIA_MES;DIA_SEMANA;HORA_RETIRADA;TEMPO_TOTAL;ENDERECO_RETIRADA;LATITUDE;LONGITUDE
1;24;14;5;19;50;Entrequadra Sul 204/205;-15.8122671;-47.8943173
0;19;15;6;16;50;SDC, Lote 5, Vi de Ligção N1/S1;-15.7898915;-47.8967584
1;23;15;6;16;50;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
1;24;15;6;17;50;Entrequadra Sul 204/205;-15.8122671;-47.8943173
1;23;15;6;17;50;Entrequadra Sul 204/205;-15.8122671;-47.8943173
1;34;15;6;19;50;Entrequadra Sul 204/205;-15.8122671;-47.8943173
1;48;15;6;22;50;SCS, QD. 03;-15.7972752;-47.892144
0;47;16;7;9;50;PMU, Eixo Monumentl Ldo Oeste, Prç do Cruzeiro;-15.783907;-47.9164933
1;44;16;7;14;50;SHS, QD. 06;-15.7926277;-47.8957922
1;29;16;7;21;50;SQN 205;-15.7722474;-47.8804341
0;4;17;1;10;50;CLN 204;-15.7766872;-47.8793288
0;24;18;2;15;50;Entrequdr 408/409 / Próximo o Supermercdo Big Box;-15.7594716;-47.8807764
0;47;18;2;17;50;SBS, QD. 3/4;-15.8026711;-47.8838398
0;4;19;3;16;50;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
1;34;19;3;18;50;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
1;24;19;3;22;50;EQN 104/105;-15.7741697;-47.8838873
1;39;20;4;6;50;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
1;34;20;4;10;50;SBS, QD. 3/4;-15.8026711;-47.8838398
0;24;20;4;15;50;CLN 406;-15.766622;-47.8801483
1;43;20;4;16;50;SHS, QD. 06;-15.7926277;-47.8957922
0;42;20;4;18;50;SHS, QD. 06;-15.7926277;-47.8957922
0;42;22;6;7;50;SDC, Lote 5, Vi de Ligção N1/S1;-15.7898915;-47.8967584
1;36;22;6;9;50;SHS, QD. 06;-15.7926277;-47.8957922
1;55;22;6;10;50;SCS - QD 01;-15.7993464;-47.8866213
1;38;22;6;13;50;EMI BL G;-15.7629208;-47.8876142
1;23;23;7;16;50;SQS 305;-15.8085221;-47.899365
0;39;23;7;18;50;CLN 403;-15.7797898;-47.8782012
1;39;24;1;6;50;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
1;26;24;1;7;50;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
0;28;24;1;10;50;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
0;28;24;1;10;50;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;8;24;1;10;50;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
1;32;24;1;11;50;EMI BL G;-15.7629208;-47.8876142
0;39;24;1;11;50;PMU, Eixo Monumentl Ldo Oeste, Prç do Cruzeiro;-15.783907;-47.9164933
1;31;24;1;12;50;SHS, QD. 06;-15.7926277;-47.8957922
1;23;24;1;16;50;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
1;41;24;1;17;50;SHS, QD. 06;-15.7926277;-47.8957922
1;40;25;2;9;50;SHS, QD. 06;-15.7926277;-47.8957922
0;45;25;2;12;50;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
0;42;26;3;8;50;Entrequadra Sul 204/205;-15.8122671;-47.8943173
0;22;26;3;10;50;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
0;21;26;3;18;50;SHS, QD. 06;-15.7926277;-47.8957922
1;50;26;3;18;50;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
1;47;26;3;18;50;CLN 204;-15.7766872;-47.8793288
1;49;27;4;7;50;St. de dministrção Federl Sul Q8 Lote 1;-15.802729;-47.9273005
1;31;27;4;10;50;SRTVS;-15.7974902;-47.8963643
1;22;27;4;12;50;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;43;27;4;18;50;SRTVS;-15.7974902;-47.8963643
0;37;28;5;8;50;Entrequdr 408/409 / Próximo o Supermercdo Big Box;-15.7594716;-47.8807764
1;46;28;5;8;50;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
0;28;28;5;11;50;Entrequadra Sul 204/205;-15.8122671;-47.8943173
